"","seqnames","start","end","width","strand","baseMean","baseVar","baseMean.1","log2FoldChange","lfcSE","stat","pvalue","padj","new_seqnames"
"30","CM002889.1",1090761,1091632,872,"*",36.6836024196038,797.466029199379,36.6836024196038,1.94466590845132,0.470356190010787,4.13445373899879,3.55799911224961e-05,0.0184425191720229,"CM002889.1:1090761-1091632"
"32","CM002889.1",37564957,37565456,500,"*",54.6092203251623,1748.56593265074,54.6092203251623,1.94253806716533,0.44396474822333,4.37543312828108,1.21191592389855e-05,0.009512501217526,"CM002889.1:37564957-37565456"
"143","CM002907.1",45941247,45941746,500,"*",35.2830670370456,692.87844431082,35.2830670370456,1.93334115950259,0.501109506910506,3.85812109497229,0.000114262035903679,0.0326979859411029,"CM002907.1:45941247-45941746"
"108","CM002902.1",272145,272644,500,"*",38.0346383194857,800.631485473912,38.0346383194857,1.84033873803456,0.493345340911375,3.73032556593083,0.000191232502781485,0.0435573209380602,"CM002902.1:272145-272644"
"48","CM002890.1",59865579,59866078,500,"*",42.4183695701211,600.663684488989,42.4183695701211,1.83293053098541,0.434519351569628,4.21829436218261,2.46157325960745e-05,0.0143881575719012,"CM002890.1:59865579-59866078"
"77","CM002896.1",34189941,34190440,500,"*",31.7987129000275,376.298555841305,31.7987129000275,1.83098743753059,0.452233350002841,4.04876694193184,5.14881849304934e-05,0.0228142486517825,"CM002896.1:34189941-34190440"
"56","CM002891.1",69217869,69218368,500,"*",41.4834119859976,1144.15533346082,41.4834119859976,1.81247265066734,0.466223355200713,3.88756296836965,0.000101255725109265,0.0309638254700145,"CM002891.1:69217869-69218368"
"4","CM002885.1",58479677,58480176,500,"*",150.714710812922,12072.6157713279,150.714710812922,1.79895466203724,0.352075277941747,5.10957393133094,3.22886126397026e-07,0.00110879095804739,"CM002885.1:58479677-58480176"
"114","CM002902.1",50489493,50489992,500,"*",39.87655415061,1463.57737589612,39.87655415061,1.76515491621934,0.453494518457203,3.89234013726213,9.92819186100553e-05,0.0309638254700145,"CM002902.1:50489493-50489992"
"109","CM002902.1",5548260,5548759,500,"*",51.8248691509369,2982.93146694685,51.8248691509369,1.75983929367397,0.456955551368289,3.85122642323609,0.00011752777263397,0.0329461527530656,"CM002902.1:5548260-5548759"
"37","CM002889.1",61868726,61869225,500,"*",35.3308651552482,253.187787759054,35.3308651552482,-1.74467065601293,0.458225141809653,-3.80745292395516,0.000140405455893926,0.0363888555124333,"CM002889.1:61868726-61869225"
"132","CM002905.1",24198964,24199463,500,"*",31.263007908366,123.574422025714,31.263007908366,-1.74132983857063,0.435432082306108,-3.99908483855462,6.35878850474358e-05,0.0251054124322813,"CM002905.1:24198964-24199463"
"73","CM002895.1",20623277,20623776,500,"*",33.7366136434131,638.447344590797,33.7366136434131,1.71225459071065,0.459377202170542,3.72733906388978,0.000193512048831359,0.0435573209380602,"CM002895.1:20623277-20623776"
"139","CM002907.1",2174238,2174737,500,"*",39.2640616803578,721.316984361095,39.2640616803578,1.71174681595088,0.355174729346982,4.81944990596056,1.43954591867942e-06,0.00219706697099784,"CM002907.1:2174238-2174737"
"125","CM002904.1",20868444,20868943,500,"*",44.3182133239237,519.34747500838,44.3182133239237,1.69459636815529,0.370352353046793,4.57563278379165,4.74782713047886e-06,0.00526729136783396,"CM002904.1:20868444-20868943"
"101","CM002900.1",54619065,54619564,500,"*",77.3415969674303,2322.15926587234,77.3415969674303,1.68884820218566,0.392701692805323,4.30058803699349,1.70345479513117e-05,0.012647921657255,"CM002900.1:54619065-54619564"
"80","CM002897.1",1001301,1001800,500,"*",83.4062658167562,4318.28894771903,83.4062658167562,1.676200046881,0.323065389217424,5.18842346727806,2.12081889232069e-07,0.000971052276830567,"CM002897.1:1001301-1001800"
"20","CM002887.1",36970639,36971138,500,"*",48.6860692724572,647.658357939314,48.6860692724572,1.67251679876583,0.438236085081865,3.81647439747778,0.000135372114692323,0.0358559546443606,"CM002887.1:36970639-36971138"
"50","CM002891.1",5468715,5469214,500,"*",30.9734946131009,240.664588587857,30.9734946131009,-1.66822141215638,0.442681844799454,-3.76844325502468,0.000164268816953506,0.0410253903576973,"CM002891.1:5468715-5469214"
"140","CM002907.1",14677630,14678129,500,"*",73.1345897106342,4755.32198536009,73.1345897106342,1.66524226475035,0.372359760256789,4.47213271273448,7.74433387939198e-06,0.00765459951605473,"CM002907.1:14677630-14678129"
"59","CM002891.1",73951811,73952310,500,"*",50.7490292082699,695.858032741785,50.7490292082699,1.63597783588141,0.328860210947408,4.97469070876148,6.53518985177454e-07,0.00166027008752488,"CM002891.1:73951811-73952310"
"118","CM002904.1",6486555,6487054,500,"*",154.284135165972,10894.980610394,154.284135165972,1.60204593214349,0.326156285447504,4.91189654660615,9.01996437115961e-07,0.00166027008752488,"CM002904.1:6486555-6487054"
"28","CM002888.1",9945910,9946409,500,"*",71.5055117904866,2513.5035007364,71.5055117904866,1.59880782267237,0.42155766615887,3.79261949436316,0.000149066479682214,0.0379180956465721,"CM002888.1:9945910-9946409"
"24","CM002887.1",57474388,57474887,500,"*",55.7943801231538,1563.00796413372,55.7943801231538,1.59806573665205,0.374643070261412,4.26556865321699,1.99393686737849e-05,0.0133603496635663,"CM002887.1:57474388-57474887"
"119","CM002904.1",15442099,15442598,500,"*",31.7225984656063,159.810894933145,31.7225984656063,-1.58430972991266,0.426152837986477,-3.71770310717239,0.000201042339515305,0.0443024167201868,"CM002904.1:15442099-15442598"
"144","CM002908.1",16096606,16097105,500,"*",35.081734235203,274.775509033476,35.081734235203,-1.56140052186835,0.424736902330047,-3.67615931957579,0.000236771686817273,0.0474787721185703,"CM002908.1:16096606-16097105"
"124","CM002904.1",18383573,18384072,500,"*",35.6776357263326,233.507036502041,35.6776357263326,-1.55734776920327,0.399403162600779,-3.8991873751383,9.6516064907876e-05,0.0309638254700145,"CM002904.1:18383573-18384072"
"94","CM002899.1",45801381,45801880,500,"*",80.0450004783204,2207.56145686947,80.0450004783204,1.55238339414363,0.335606969043181,4.62559939851514,3.73516621836447e-06,0.0046642039250413,"CM002899.1:45801381-45801880"
"67","CM002894.1",5135268,5135767,500,"*",406.171876533651,90759.6808114574,406.171876533651,1.55081803823076,0.31660681697795,4.89824588438588,9.6695986460389e-07,0.00166027008752488,"CM002894.1:5135268-5135767"
"7","CM002886.1",15088215,15088714,500,"*",48.8652596475005,567.679257285959,48.8652596475005,-1.49478129016207,0.409063451137119,-3.65415508524866,0.000258030275537861,0.0483824083797927,"CM002886.1:15088215-15088714"
"117","CM002903.1",25880479,25880978,500,"*",40.5630664536723,486.517913485905,40.5630664536723,1.49297424514402,0.408094038347385,3.65840738862532,0.000253787414519288,0.0483824083797927,"CM002903.1:25880479-25880978"
"102","CM002901.1",487548,488047,500,"*",62.8094831626941,1337.24766859599,62.8094831626941,1.47452436521071,0.358810924674024,4.1094745555763,3.96560404039908e-05,0.0195300368791665,"CM002901.1:487548-488047"
"103","CM002901.1",1395288,1395787,500,"*",237.012815181015,16811.2941984108,237.012815181015,1.4691691033365,0.24974638742909,5.88264406328456,4.0376362519364e-09,0.000110921943113197,"CM002901.1:1395288-1395787"
"18","CM002887.1",11625609,11626108,500,"*",83.2874383798937,1979.99271846652,83.2874383798937,1.46734295268741,0.361983641812647,4.05361674726413,5.04318134373363e-05,0.0227125045696804,"CM002887.1:11625609-11626108"
"147","CM002909.1",10696492,10696991,500,"*",72.3936384584446,2091.71895801396,72.3936384584446,1.46085954958531,0.365010591427751,4.00223879496512,6.27459224377797e-05,0.0251054124322813,"CM002909.1:10696492-10696991"
"150","KN150600.1",341,840,500,"*",44.8826961063403,435.491733377788,44.8826961063403,1.43140074858085,0.368967359241746,3.87947798830357,0.000104680873011323,0.0310289004144426,"KN150600.1:341-840"
"134","CM002906.1",17120757,17121529,773,"*",45.1956914829446,235.190277899402,45.1956914829446,-1.42682342384329,0.349587308157592,-4.08145087235287,4.47554385938432e-05,0.0211986449836217,"CM002906.1:17120757-17121529"
"33","CM002889.1",37904932,37905431,500,"*",235.713725815824,18194.2248531232,235.713725815824,1.42421509084383,0.323860797986038,4.39761496204683,1.0944691657366e-05,0.0091112899760957,"CM002889.1:37904932-37905431"
"25","CM002887.1",59285313,59285812,500,"*",107.178563617889,2588.86010136582,107.178563617889,1.42062455333656,0.256845167817361,5.5310542355492,3.18311879377374e-08,0.000282292575371923,"CM002887.1:59285313-59285812"
"123","CM002904.1",17982452,17982951,500,"*",45.8247577802044,424.494802281921,45.8247577802044,1.41033889456241,0.383634569272289,3.67625601946577,0.000236681999911428,0.0474787721185703,"CM002904.1:17982452-17982951"
"74","CM002895.1",45076061,45076560,500,"*",63.6731312325896,1265.89386768862,63.6731312325896,1.39936738093156,0.340046711977217,4.11522103182492,3.86808568142951e-05,0.0195300368791665,"CM002895.1:45076061-45076560"
"122","CM002904.1",15687329,15687828,500,"*",67.0107429600079,740.954414137344,67.0107429600079,1.39566902550212,0.326774351394474,4.27104826173246,1.94556295008579e-05,0.0133603496635663,"CM002904.1:15687329-15687828"
"55","CM002891.1",40885503,40886002,500,"*",87.1340356896372,2299.81960506031,87.1340356896372,1.39296087951183,0.351912785594758,3.95825595582617,7.54990281216514e-05,0.0276547906741068,"CM002891.1:40885503-40886002"
"107","CM002901.1",51613348,51613847,500,"*",46.839674143113,679.350955188556,46.839674143113,1.39074406967789,0.364467024273877,3.81582962806759,0.00013572613306722,0.0358559546443606,"CM002901.1:51613348-51613847"
"19","CM002887.1",32328635,32329134,500,"*",104.652608880522,2716.99756111767,104.652608880522,1.3896203814145,0.329280971085708,4.22016606921632,2.44122418117302e-05,0.0143881575719012,"CM002887.1:32328635-32329134"
"49","CM002891.1",5304709,5305208,500,"*",98.1480394857748,2288.82444462674,98.1480394857748,1.38862766836676,0.298087642539522,4.65845432751425,3.1859247000166e-06,0.00416779635042172,"CM002891.1:5304709-5305208"
"11","CM002886.1",56491466,56491965,500,"*",135.190301029052,5613.98289290945,135.190301029052,1.38452876232194,0.326879271959571,4.23559668993994,2.27945590205889e-05,0.0142320937594004,"CM002886.1:56491466-56491965"
"5","CM002885.1",58542861,58543360,500,"*",106.015266675146,3080.738262419,106.015266675146,1.38238786731976,0.295271441297006,4.68175269930439,2.84432490053501e-06,0.00390696468337489,"CM002885.1:58542861-58543360"
"31","CM002889.1",11919877,11920376,500,"*",47.8999355605707,398.338568437371,47.8999355605707,1.37781004829229,0.350068418383013,3.93583075747442,8.29093880445225e-05,0.0288314773210015,"CM002889.1:11919877-11920376"
"145","CM002909.1",136191,136690,500,"*",92.9568219321191,2351.60678039582,92.9568219321191,1.37497314008891,0.35444414739562,3.8792378155823,0.000104784273887002,0.0310289004144426,"CM002909.1:136191-136690"
"12","CM002887.1",52202,52701,500,"*",68.6346171671586,1367.14775302451,68.6346171671586,1.36987823913925,0.334006664143151,4.10135002142393,4.10746693765919e-05,0.0197965494230479,"CM002887.1:52202-52701"
"2","CM002885.1",185007,185506,500,"*",99.3815998791583,2633.62852467521,99.3815998791583,1.36182028353979,0.328586150933371,4.14448472545616,3.40578655546173e-05,0.0183458369120872,"CM002885.1:185007-185506"
"72","CM002895.1",12802692,12803447,756,"*",110.40473497118,6313.384794726,110.40473497118,1.35713019092414,0.361499647747543,3.75416739512815,0.000173918612070138,0.0426597509892038,"CM002895.1:12802692-12803447"
"130","CM002905.1",4375223,4375722,500,"*",93.7605091499658,1643.25945729923,93.7605091499658,1.33513610064444,0.291920072909589,4.57363581523202,4.79332717661069e-06,0.00526729136783396,"CM002905.1:4375223-4375722"
"70","CM002894.1",13701874,13702373,500,"*",47.704255485963,820.835397161773,47.704255485963,1.31928486383837,0.329909569499482,3.99892875444597,6.36298288749229e-05,0.0251054124322813,"CM002894.1:13701874-13702373"
"53","CM002891.1",10318592,10319091,500,"*",191.051995615994,18283.5551265011,191.051995615994,1.31793420436105,0.312243385991208,4.22085547201361,2.43376944695932e-05,0.0143881575719012,"CM002891.1:10318592-10319091"
"61","CM002893.1",5470172,5470671,500,"*",156.051261298896,15312.0695262211,156.051261298896,1.31766427463375,0.345317382413172,3.81580639070515,0.000135738908088727,0.0358559546443606,"CM002893.1:5470172-5470671"
"41","CM002889.1",71403458,71404338,881,"*",90.9290424758026,1678.55347665782,90.9290424758026,1.31757463445374,0.324415607415723,4.0613786893592,4.87837656148399e-05,0.0223364601495147,"CM002889.1:71403458-71404338"
"69","CM002894.1",6381773,6382272,500,"*",121.83120404873,2385.46346163136,121.83120404873,1.3127044136381,0.297470738107274,4.41288585892679,1.02001779176228e-05,0.0090393318629979,"CM002894.1:6381773-6382272"
"100","CM002900.1",48595152,48595651,500,"*",57.7614259772774,621.234235241814,57.7614259772774,1.31169926072725,0.3282521358581,3.9960113505378,6.44186465855483e-05,0.0251054124322813,"CM002900.1:48595152-48595651"
"66","CM002894.1",1799621,1800120,500,"*",234.402768703325,18509.4807535048,234.402768703325,1.30414781285669,0.32911320890536,3.96261158035658,7.41343402675509e-05,0.0275218729166238,"CM002894.1:1799621-1800120"
"62","CM002893.1",44213691,44214190,500,"*",53.405498810561,1612.93050630417,53.405498810561,1.30372035440959,0.349459552315002,3.73067597028917,0.000190966705531738,0.0435573209380602,"CM002893.1:44213691-44214190"
"38","CM002889.1",64184151,64184650,500,"*",86.9292807005823,1069.59848538823,86.9292807005823,1.3018072394186,0.271388037863271,4.79684826814096,1.61181599957869e-06,0.00233051627054872,"CM002889.1:64184151-64184650"
"110","CM002902.1",6627792,6628291,500,"*",68.7251357067033,1691.38974955506,68.7251357067033,1.29491077591813,0.349959496833275,3.70017327043719,0.000215452310405259,0.0451824875683456,"CM002902.1:6627792-6628291"
"92","CM002899.1",20593110,20593609,500,"*",68.1818797093723,1411.11521927498,68.1818797093723,1.29354962476483,0.332326268115912,3.89240860224041,9.92538964070489e-05,0.0309638254700145,"CM002899.1:20593110-20593609"
"42","CM002890.1",327105,327604,500,"*",72.1169957084552,942.066624720861,72.1169957084552,1.28571722888167,0.308685699082584,4.16513376778657,3.11170062319434e-05,0.0174458448000806,"CM002890.1:327105-327604"
"3","CM002885.1",58446298,58446797,500,"*",56.604397091869,1264.9026607697,56.604397091869,1.28427528558622,0.351934910722832,3.64918411460936,0.000263074512082974,0.0483824083797927,"CM002885.1:58446298-58446797"
"36","CM002889.1",53882442,53882941,500,"*",146.181976521859,6573.2895352183,146.181976521859,1.27671054899661,0.346509711531994,3.68448706199893,0.000229163665073166,0.0469819716932092,"CM002889.1:53882442-53882941"
"27","CM002887.1",61682115,61682614,500,"*",94.3998802684822,2736.99440849939,94.3998802684822,1.26091942142605,0.275601216980674,4.57515912026784,4.7585817701417e-06,0.00526729136783396,"CM002887.1:61682115-61682614"
"6","CM002885.1",58608084,58608583,500,"*",181.788490409066,10266.8519403799,181.788490409066,1.25924039127556,0.296599248674481,4.2455953509767,2.18013771207238e-05,0.0142320937594004,"CM002885.1:58608084-58608583"
"15","CM002887.1",4122604,4123103,500,"*",85.5518552346959,2406.976822273,85.5518552346959,1.23196096707864,0.280838610933782,4.38672219244499,1.15071609019038e-05,0.00929778600873826,"CM002887.1:4122604-4123103"
"104","CM002901.1",8489676,8490175,500,"*",82.9611776559446,1535.08510211332,82.9611776559446,1.22573428903181,0.320343057678878,3.82631762933511,0.00013007443360555,0.0353802459407097,"CM002901.1:8489676-8490175"
"39","CM002889.1",66928807,66929306,500,"*",47.5534458910193,434.353303045803,47.5534458910193,1.21980588170402,0.33283944268815,3.6648477471671,0.000247485765429868,0.0483824083797927,"CM002889.1:66928807-66929306"
"112","CM002902.1",8700770,8701269,500,"*",101.29908193074,2238.55095621258,101.29908193074,1.2188951264942,0.24176967471596,5.04155505824377,4.6176395438892e-07,0.00140950881721916,"CM002902.1:8700770-8701269"
"63","CM002894.1",153604,154103,500,"*",99.4923432216033,2038.53737210153,99.4923432216033,1.20872293832016,0.305758823555501,3.95319070195452,7.7115927444569e-05,0.0278731817993495,"CM002894.1:153604-154103"
"95","CM002899.1",47041964,47042463,500,"*",360.195216132555,21466.3061570655,360.195216132555,1.19757688331698,0.242764144484142,4.93308798077144,8.09396741723139e-07,0.00166027008752488,"CM002899.1:47041964-47042463"
"54","CM002891.1",24647925,24648424,500,"*",72.0207191343309,731.87816622492,72.0207191343309,1.19747815236097,0.296580705541149,4.03761313527128,5.39978052635258e-05,0.0235464715269775,"CM002891.1:24647925-24648424"
"136","CM002906.1",30060403,30060902,500,"*",93.6747501116332,1126.09018343537,93.6747501116332,-1.19395105282,0.297764226379878,-4.00971959370564,6.0790895580403e-05,0.0251054124322813,"CM002906.1:30060403-30060902"
"83","CM002897.1",51544130,51544629,500,"*",55.9820362865234,437.240423369336,55.9820362865234,1.18923490287217,0.297732453065857,3.99430727361494,6.48836736565219e-05,0.0251054124322813,"CM002897.1:51544130-51544629"
"22","CM002887.1",55222028,55222527,500,"*",87.0087128823953,2655.4304887159,87.0087128823953,1.18833802950934,0.308404613059554,3.85317851675541,0.000116594318466626,0.0329461527530656,"CM002887.1:55222028-55222527"
"85","CM002898.1",181543,182042,500,"*",71.1300226067236,1359.53572228297,71.1300226067236,1.18503412889682,0.318812242316732,3.71702830570578,0.000201579866410285,0.0443024167201868,"CM002898.1:181543-182042"
"58","CM002891.1",73948002,73948501,500,"*",128.584411118445,4776.62703122066,128.584411118445,1.17835928399587,0.307257216243028,3.8350906722524,0.000125517981161674,0.0348306058431668,"CM002891.1:73948002-73948501"
"71","CM002895.1",165810,166309,500,"*",76.1489940027285,1217.60913615677,76.1489940027285,1.16214802347308,0.31033397136732,3.74483018521209,0.000180515831476068,0.0434664536393978,"CM002895.1:165810-166309"
"87","CM002898.1",51841744,51842243,500,"*",238.194572316859,13824.1327707206,238.194572316859,1.14268615436858,0.233010606630436,4.90400918178343,9.39000972456979e-07,0.00166027008752488,"CM002898.1:51841744-51842243"
"96","CM002899.1",47515380,47515879,500,"*",50.017988950332,407.655263286042,50.017988950332,1.1382403293939,0.310193818610187,3.669448780423,0.00024307403230545,0.0480412216942109,"CM002899.1:47515380-47515879"
"21","CM002887.1",38598193,38598692,500,"*",114.118003619624,2409.34006500506,114.118003619624,1.12313782128039,0.305722971867411,3.67371092338943,0.000239053170954697,0.0475889037135321,"CM002887.1:38598193-38598692"
"44","CM002890.1",11900072,11900571,500,"*",101.549375477904,2441.31883968836,101.549375477904,1.12024691060364,0.299478258434955,3.74066189798866,0.000183536277743526,0.0434664536393978,"CM002890.1:11900072-11900571"
"60","CM002891.1",74078097,74078596,500,"*",103.873380875358,1898.97659913436,103.873380875358,1.10500169801603,0.297867602247213,3.70970756698454,0.000207498780554883,0.0451511484431621,"CM002891.1:74078097-74078596"
"47","CM002890.1",59759972,59760471,500,"*",310.968022691544,13008.6175131119,310.968022691544,1.09417001390272,0.281485836123701,3.88712280863,0.000101439439877013,0.0309638254700145,"CM002890.1:59759972-59760471"
"135","CM002906.1",20971838,20972337,500,"*",65.8759965789097,1012.42286006539,65.8759965789097,1.09357306498537,0.281115991278143,3.89011333013552,0.000100197416590652,0.0309638254700145,"CM002906.1:20971838-20972337"
"8","CM002886.1",51352621,51353120,500,"*",204.36010456988,5614.88903309226,204.36010456988,1.07032907695429,0.219492682936854,4.87637702830493,1.08051995065592e-06,0.00174612024025997,"CM002886.1:51352621-51353120"
"105","CM002901.1",28689744,28690243,500,"*",251.558844592285,12264.1106189085,251.558844592285,1.06965131843403,0.252469463706981,4.23675522072436,2.26773124183769e-05,0.0142320937594004,"CM002901.1:28689744-28690243"
"75","CM002896.1",3830775,3831274,500,"*",143.826170180414,4631.12785829005,143.826170180414,1.06932689461559,0.272052330329138,3.93059266693977,8.47367261351802e-05,0.0290985917548209,"CM002896.1:3830775-3831274"
"137","CM002906.1",37094885,37095384,500,"*",89.1429999743609,1183.50790113316,89.1429999743609,1.06497422381139,0.284885857032666,3.73824883728529,0.000185306490598221,0.0435105975189259,"CM002906.1:37094885-37095384"
"57","CM002891.1",73160434,73160933,500,"*",103.01259698045,2023.51811062068,103.01259698045,1.06450322700844,0.29074105311629,3.66134474508717,0.000250894883268483,0.0483824083797927,"CM002891.1:73160434-73160933"
"40","CM002889.1",71139273,71139772,500,"*",99.5195112976963,1524.84656197697,99.5195112976963,1.05959186280842,0.282692158748877,3.74821808817728,0.000178095366300104,0.0432976628583758,"CM002889.1:71139273-71139772"
"113","CM002902.1",41520738,41521237,500,"*",105.97311486564,1620.90521345776,105.97311486564,1.02478364330512,0.264211945507626,3.87864235788512,0.00010504105047114,0.0310289004144426,"CM002902.1:41520738-41521237"
"142","CM002907.1",39321018,39321517,500,"*",115.056234104701,1992.95045811505,115.056234104701,1.01096453775565,0.258850901768985,3.90558630797391,9.39972011678131e-05,0.0309638254700145,"CM002907.1:39321018-39321517"
"64","CM002894.1",384344,384843,500,"*",118.702006246934,1121.49746770258,118.702006246934,1.00711179862883,0.242709314634234,4.14945672829476,3.33265277040463e-05,0.0183109273817112,"CM002894.1:384344-384843"
"129","CM002905.1",697792,698291,500,"*",138.504246591087,2797.68680085436,138.504246591087,1.00527659741262,0.256687676012004,3.9163414973051,8.99028761653957e-05,0.0304915038767377,"CM002905.1:697792-698291"
"78","CM002896.1",38575744,38576243,500,"*",123.385788295952,2228.65685933229,123.385788295952,0.997660367870265,0.269900161155732,3.69640523220961,0.000218673833423755,0.045510663271344,"CM002896.1:38575744-38576243"
"84","CM002897.1",51623489,51623988,500,"*",339.022720243293,22884.6910973661,339.022720243293,0.996323948113954,0.245267657472837,4.0621904998799,4.86143789143892e-05,0.0223364601495147,"CM002897.1:51623489-51623988"
"34","CM002889.1",50861109,50861608,500,"*",118.148912705866,2075.95811271089,118.148912705866,0.990028973312638,0.259876918797413,3.80960717055606,0.000139187764172986,0.0363888555124333,"CM002889.1:50861109-50861608"
"116","CM002903.1",20512302,20512801,500,"*",140.992127361883,2290.91810099328,140.992127361883,0.986670068524479,0.240148973185583,4.10857500424122,3.98107915416906e-05,0.0195300368791665,"CM002903.1:20512302-20512801"
"65","CM002894.1",443696,444195,500,"*",302.083631095829,9950.49333937872,302.083631095829,0.984626923482452,0.200303100959678,4.91568487339926,8.84726143094597e-07,0.00166027008752488,"CM002894.1:443696-444195"
"52","CM002891.1",7351882,7352381,500,"*",177.410850971279,3736.08986572415,177.410850971279,0.980644600426289,0.266510173921398,3.67957660301371,0.000233621506892424,0.0474787721185703,"CM002891.1:7351882-7352381"
"46","CM002890.1",58980501,58981000,500,"*",168.614664846883,2276.99029708889,168.614664846883,0.979443844472848,0.255629230633626,3.83150174980032,0.000127363468457899,0.0349892920547539,"CM002890.1:58980501-58981000"
"106","CM002901.1",43711273,43711772,500,"*",171.030970168592,3237.43115805834,171.030970168592,0.968488927697126,0.244343372111579,3.9636390352134,7.38158399471288e-05,0.0275218729166238,"CM002901.1:43711273-43711772"
"26","CM002887.1",60369415,60369914,500,"*",134.341879301723,1677.48520414317,134.341879301723,0.958139043401676,0.24533720841988,3.90539637086714,9.40710651739066e-05,0.0309638254700145,"CM002887.1:60369415-60369914"
"23","CM002887.1",55995907,55996406,500,"*",205.090840557868,4803.61890144939,205.090840557868,0.953353734374934,0.246190922163762,3.87241627756193,0.000107761697682488,0.0314078613372275,"CM002887.1:55995907-55996406"
"111","CM002902.1",7072291,7072790,500,"*",395.341739862926,21312.0992149218,395.341739862926,0.947535532906406,0.215131315221644,4.40445191314982,1.06051661048089e-05,0.0091045351009784,"CM002902.1:7072291-7072790"
"138","CM002907.1",1280885,1281384,500,"*",185.76173877179,4759.78678384303,185.76173877179,0.938371298069279,0.211980935535366,4.4266777844875,9.56955143671333e-06,0.0090393318629979,"CM002907.1:1280885-1281384"
"91","CM002899.1",1569009,1569954,946,"*",456.876530251557,32023.4358179951,456.876530251557,0.927521559582577,0.204055723393865,4.5454327090463,5.48225102063598e-06,0.00579263077072737,"CM002899.1:1569009-1569954"
"35","CM002889.1",52934307,52934806,500,"*",445.521442823551,23866.6797120974,445.521442823551,0.926930569293206,0.220859888487871,4.19691676763711,2.70573313833533e-05,0.0154858126617392,"CM002889.1:52934307-52934806"
"93","CM002899.1",44093163,44093662,500,"*",260.822289682518,10547.2379345551,260.822289682518,0.924925788048241,0.252669589553449,3.66061380668283,0.000251611763486872,0.0483824083797927,"CM002899.1:44093163-44093662"
"76","CM002896.1",16832439,16832938,500,"*",99.7820730307182,1103.90144790972,99.7820730307182,0.924921673826039,0.250611599205306,3.6906578815944,0.000223674807112643,0.0462014609097633,"CM002896.1:16832439-16832938"
"1","CM002885.1",27509,28008,500,"*",175.433401185182,2079.18974394775,175.433401185182,0.921786827747519,0.215011952343533,4.28714226209501,1.80986392943131e-05,0.0128946523931589,"CM002885.1:27509-28008"
"97","CM002900.1",1384691,1385190,500,"*",113.444360506394,1772.82614438507,113.444360506394,0.91829778813277,0.22917018998824,4.0070560144838,6.14802862057884e-05,0.0251054124322813,"CM002900.1:1384691-1385190"
"146","CM002909.1",222688,223187,500,"*",330.043944514781,14262.8381079386,330.043944514781,0.912647935002115,0.246649314044082,3.70018436312782,0.000215442892726156,0.0451824875683456,"CM002909.1:222688-223187"
"121","CM002904.1",15656516,15657393,878,"*",162.513822781608,2629.30236073782,162.513822781608,0.902995948430181,0.228772768313169,3.94713039969015,7.90934834927162e-05,0.0278731817993495,"CM002904.1:15656516-15657393"
"128","CM002904.1",54830661,54831160,500,"*",105.368712755979,843.769235848131,105.368712755979,0.895267475604969,0.240277435205067,3.7259739968545,0.000194562462458101,0.0435573209380602,"CM002904.1:54830661-54831160"
